Spiller-Id,Navn,All Clubs,Current Club,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
100002,David Gustafsson,Asker,Asker,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100010,Jim Ronny Andersen,Kristiansand,Kristiansand,280.0,360.0,1392.0,20.0,255.0,86.0,0.0,96.0,248.0,64.0,0.0,156.0
100014,Geir Arnevik,Grimstad,Grimstad,97.0,0.0,16.0,76.0,98.0,74.0,32.0,0.0,14.0,0.0,6.0,0.0
100016,Stian Askerød,Frogner,Frogner,70.0,82.0,7.0,12.0,19.0,25.0,12.0,8.0,26.0,96.0,64.0,32.0
100021,Truls Barth Nilsen,Sandefjord,Sandefjord,88.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100032,Sven Bjerkan,Bergen,Bergen,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100034,Odd Magnus Bjerkvik,Bygdø,Bygdø,16.0,0.0,0.0,0.0,30.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
100036,Marius Myhre,Sandefjord|Haugerud,Sandefjord,2944.0,3200.0,3264.0,1952.0,1456.0,1072.0,56.0,48.0,23.0,0.0,28.0,9.0
100038,Ole Christoffer Olsen,Flatås|Herøy|Bodø,Flatås,12.0,0.0,0.0,15.0,38.0,40.0,32.0,0.0,30.0,132.0,116.0,90.0
100049,Bård Vegard Bævre,Klæbu,Klæbu,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100069,Erik Wåland,Tromsø,Tromsø,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100084,Rune Oterhals,Trondheim|NTNUI,Trondheim,170.0,104.0,112.0,90.0,52.0,130.0,108.0,24.0,119.0,136.0,33.0,106.0
100092,Anita Elson,Kristiansand,Kristiansand,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100113,Gunn Fiskergaard,Ålesund,Ålesund,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
100115,Nikolai Svensson,Frogner|Moss,Moss,1344.0,696.0,166.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0
100128,Torleif Formo,Grong|Gullvikmoen,Gullvikmoen,12.0,24.0,24.0,86.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100139,Per Ivar Furholm,Norborg,Norborg,138.0,92.0,122.0,32.0,24.0,0.0,3.0,0.0,17.0,31.0,24.0,14.0
100140,Emil Pettersen,Herøy|NTNUI|Gullvikmoen,Herøy,56.0,12.0,16.0,20.0,14.0,36.0,28.0,0.0,17.0,56.0,30.0,24.0
100143,Noralf Gamlem,Norborg,Norborg,96.0,53.0,86.0,28.0,33.0,63.0,8.0,0.0,52.0,37.0,70.0,116.0
100172,Jon Eirik Gulli,Slagen|Bærum,Slagen,22.0,6.0,102.0,100.0,41.0,14.0,13.0,0.0,3.0,53.0,0.0,0.0
100173,Andre Gulliksen,Jarlsberg,Jarlsberg,4.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100185,Nils Rolf Haga,Stavanger,Stavanger,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100189,Sigve Hallager,Grong,Grong,50.0,114.0,180.0,192.0,86.0,0.0,32.0,0.0,72.0,28.0,60.0,55.0
100194,Bjørn Hamang,Bærum,Bærum,110.0,116.0,96.0,48.0,44.0,8.0,0.0,0.0,0.0,22.0,0.0,0.0
100200,Helge Hansen,Kolvereid,Kolvereid,28.0,13.0,2.0,7.0,8.0,23.0,9.0,2.0,16.0,19.0,25.0,18.0
100216,Roger Haugstulen,Pillarguri,Pillarguri,8.0,0.0,0.0,0.0,0.0,4.0,16.0,0.0,16.0,2.0,102.0,58.0
100217,Øyvind Haukenes,Sotra,Sotra,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100222,Eivind Heien,Sarpsborg,Sarpsborg,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100227,Arne Kristian Helgestad,Frogner|Haugerud,Frogner,8.0,2.0,23.0,42.0,41.0,25.0,13.0,0.0,3.0,0.0,0.0,0.0
