Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Gjermund Hagen,,Fredrik Engh,"21/11,21/14",Gjermund Hagen,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Jonas Østhassel,,Fredrik Engh,"21/12,21/14",Jonas Østhassel,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Jan Frode Neverdal,,Thomas Christian Malm,"21/10,21/11",Jan Frode Neverdal,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Jan Frode Neverdal,,Jonas Østhassel,"21/17,22/20",Jan Frode Neverdal,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Gjermund Hagen,,Thomas Christian Malm,"20/22,21/17,21/17",Gjermund Hagen,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Jan Frode Neverdal,,Gjermund Hagen,"21/12,19/21,23/21",Jan Frode Neverdal,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Fredrik Engh,,Thomas Christian Malm,"23/21,16/21,21/17",Fredrik Engh,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Jan Frode Neverdal,,Fredrik Engh,"21/14,21/11",Jan Frode Neverdal,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Jonas Østhassel,,Gjermund Hagen,"21/13,22/20",Jonas Østhassel,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Gjermund Hagen,,Fredrik Engh,"21/11,21/14",Gjermund Hagen,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Jonas Østhassel,,Fredrik Engh,"21/12,21/14",Jonas Østhassel,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Jan Frode Neverdal,,Thomas Christian Malm,"21/10,21/11",Jan Frode Neverdal,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Jan Frode Neverdal,,Jonas Østhassel,"21/17,22/20",Jan Frode Neverdal,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Gjermund Hagen,,Thomas Christian Malm,"20/22,21/17,21/17",Gjermund Hagen,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Jan Frode Neverdal,,Gjermund Hagen,"21/12,19/21,23/21",Jan Frode Neverdal,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Fredrik Engh,,Thomas Christian Malm,"23/21,16/21,21/17",Fredrik Engh,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Jan Frode Neverdal,,Fredrik Engh,"21/14,21/11",Jan Frode Neverdal,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Jonas Østhassel,,Gjermund Hagen,"21/13,22/20",Jonas Østhassel,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,Fredrik Engh,Jan Frode Neverdal,Benjamin Falck,Gjermund Hagen,"27/29,22/20,26/24",Fredrik Engh,Jan Frode Neverdal
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,Jonas Østhassel,Thomas Christian Malm,Joakim Haugebo,Andreas Haglund,"21/10,21/11",Jonas Østhassel,Thomas Christian Malm
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,Benjamin Falck,Gjermund Hagen,Joakim Haugebo,Andreas Haglund,"21/7,21/18",Benjamin Falck,Gjermund Hagen
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,Fredrik Engh,Jan Frode Neverdal,Joachim Røynås,Joakim Harring,"21/15,22/20",Fredrik Engh,Jan Frode Neverdal
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,Joachim Røynås,Joakim Harring,Stig Arve H. Abrahamsen,Tarjei Sveen,"21/20,21/14",Joachim Røynås,Joakim Harring
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,Fredrik Engh,Jan Frode Neverdal,Stig Arve H. Abrahamsen,Tarjei Sveen,"21/13,21/13",Fredrik Engh,Jan Frode Neverdal
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN B,,Kristen Grødal,,Joakim Haugebo,"19/21,23/21,21/12",Kristen Grødal,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN B,,Kristen Grødal,,Tarjei Sveen,"21/19,21/15",Kristen Grødal,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN B,,Joakim Haugebo,,Job Willem de Vos,"21/6,21/3",Joakim Haugebo,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN B,,Joakim Harring,,Erick Thomas Allende,"21/8,21/4",Joakim Harring,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN B,,Job Willem de Vos,,Erick Thomas Allende,"21/6,21/14",Job Willem de Vos,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN B,,Joakim Haugebo,,Joakim Harring,"21/11,21/13",Joakim Haugebo,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN B,,Joakim Haugebo,,Erick Thomas Allende,"21/3,21/4",Joakim Haugebo,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN B,,Joakim Harring,,Job Willem de Vos,"21/7,21/12",Joakim Harring,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN B,,Joachim Røynås,,Roger Morland,"21/8,21/17",Joachim Røynås,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN B,,Kristen Grødal,,Joachim Røynås,"22/20,18/21,21/19",Kristen Grødal,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN B,,Kristen Grødal,,Roger Morland,"23/21,21/7",Kristen Grødal,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN B,,Andreas Haglund,,Pontus Lexberg,"21/16,21/15",Andreas Haglund,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN B,,Tarjei Sveen,,Andreas Haglund,"21/16,21/19",Tarjei Sveen,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN B,,Tarjei Sveen,,Pontus Lexberg,"21/19,21/7",Tarjei Sveen,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN B,,Kristen Grødal,,Joakim Haugebo,"19/21,23/21,21/12",Kristen Grødal,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN B,,Kristen Grødal,,Tarjei Sveen,"21/19,21/15",Kristen Grødal,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN B,,Joakim Haugebo,,Job Willem de Vos,"21/6,21/3",Joakim Haugebo,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN B,,Joakim Harring,,Erick Thomas Allende,"21/8,21/4",Joakim Harring,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN B,,Job Willem de Vos,,Erick Thomas Allende,"21/6,21/14",Job Willem de Vos,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN B,,Joakim Haugebo,,Joakim Harring,"21/11,21/13",Joakim Haugebo,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN B,,Joakim Haugebo,,Erick Thomas Allende,"21/3,21/4",Joakim Haugebo,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN B,,Joakim Harring,,Job Willem de Vos,"21/7,21/12",Joakim Harring,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN B,,Joachim Røynås,,Roger Morland,"21/8,21/17",Joachim Røynås,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN B,,Kristen Grødal,,Joachim Røynås,"22/20,18/21,21/19",Kristen Grødal,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN B,,Kristen Grødal,,Roger Morland,"23/21,21/7",Kristen Grødal,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN B,,Andreas Haglund,,Pontus Lexberg,"21/16,21/15",Andreas Haglund,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN B,,Tarjei Sveen,,Andreas Haglund,"21/16,21/19",Tarjei Sveen,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN B,,Tarjei Sveen,,Pontus Lexberg,"21/19,21/7",Tarjei Sveen,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Gjermund Hagen,,Fredrik Engh,"21/11,21/14",Gjermund Hagen,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Jonas Østhassel,,Fredrik Engh,"21/12,21/14",Jonas Østhassel,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Jan Frode Neverdal,,Thomas Christian Malm,"21/10,21/11",Jan Frode Neverdal,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Jan Frode Neverdal,,Jonas Østhassel,"21/17,22/20",Jan Frode Neverdal,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Gjermund Hagen,,Thomas Christian Malm,"20/22,21/17,21/17",Gjermund Hagen,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Jan Frode Neverdal,,Gjermund Hagen,"21/12,19/21,23/21",Jan Frode Neverdal,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Fredrik Engh,,Thomas Christian Malm,"23/21,16/21,21/17",Fredrik Engh,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Jan Frode Neverdal,,Fredrik Engh,"21/14,21/11",Jan Frode Neverdal,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Jonas Østhassel,,Gjermund Hagen,"21/13,22/20",Jonas Østhassel,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Gjermund Hagen,,Fredrik Engh,"21/11,21/14",Gjermund Hagen,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Jonas Østhassel,,Fredrik Engh,"21/12,21/14",Jonas Østhassel,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Jan Frode Neverdal,,Thomas Christian Malm,"21/10,21/11",Jan Frode Neverdal,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Jan Frode Neverdal,,Jonas Østhassel,"21/17,22/20",Jan Frode Neverdal,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Gjermund Hagen,,Thomas Christian Malm,"20/22,21/17,21/17",Gjermund Hagen,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Jan Frode Neverdal,,Gjermund Hagen,"21/12,19/21,23/21",Jan Frode Neverdal,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Fredrik Engh,,Thomas Christian Malm,"23/21,16/21,21/17",Fredrik Engh,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Jan Frode Neverdal,,Fredrik Engh,"21/14,21/11",Jan Frode Neverdal,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,,Jonas Østhassel,,Gjermund Hagen,"21/13,22/20",Jonas Østhassel,
2015/2016,Imås IL Sparebanken Sør Cup,13.02.2016,SEN A,Fredrik Engh,Jan Frode Neverdal,Benjamin Falck,Gjermund Hagen,"27/29,22/20,26/24",Fredrik Engh,Jan Frode Neverdal
