Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN A,Herresingle,,Lasse Nyheim,,Adrian Olsen-Loe Pedersen,"21/8,21/5",Lasse Nyheim,
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN A,Herresingle,,Adrian Olsen-Loe Pedersen,,Rune Enoksen,"21/16,21/12",Adrian Olsen-Loe Pedersen,
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN A,Herresingle,,Rune Enoksen,,Pankaj Bhart,"11/21,21/18,21/16",Rune Enoksen,
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN A,Herresingle,,Adrian Olsen-Loe Pedersen,,Pankaj Bhart,"21/7,21/11",Adrian Olsen-Loe Pedersen,
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN A,Herresingle,,Simen Eggøy Olson,,Geir Bjørsvik,"23/21,21/17",Simen Eggøy Olson,
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN A,Herresingle,,Lasse Nyheim,,Geir Bjørsvik,"21/7,21/8",Lasse Nyheim,
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN A,Herresingle,,Lasse Nyheim,,Simen Eggøy Olson,"21/12,21/9",Lasse Nyheim,
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN A,Herredouble,Lasse Nyheim,Kent Nyheim,Adrian Olsen-Loe Pedersen,Simen Eggøy Olson,"21/17,20/22,21/15",Lasse Nyheim,Kent Nyheim
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN A,Herredouble,Geir Arne Andersen,Gagan Kumar,Jørgen Wettainen,Viktor Poromaa,"21/13,21/17",Geir Arne Andersen,Gagan Kumar
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN A,Herredouble,Adrian Olsen-Loe Pedersen,Simen Eggøy Olson,Geir Arne Andersen,Gagan Kumar,"21/13,21/13",Adrian Olsen-Loe Pedersen,Simen Eggøy Olson
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN A,Herredouble,Adrian Olsen-Loe Pedersen,Simen Eggøy Olson,Jørgen Wettainen,Viktor Poromaa,"21/15,21/8",Adrian Olsen-Loe Pedersen,Simen Eggøy Olson
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN A,Herredouble,Sturla Hansen,Geir Bjørsvik,Pankaj Bhart,Rune Enoksen,"21/12,21/15",Sturla Hansen,Geir Bjørsvik
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN A,Herredouble,Alvin Beckeus,Anton Hofmann,Pankaj Bhart,Rune Enoksen,"21/12,21/10",Alvin Beckeus,Anton Hofmann
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN A,Herredouble,Lasse Nyheim,Kent Nyheim,Sturla Hansen,Geir Bjørsvik,"21/10,21/16",Lasse Nyheim,Kent Nyheim
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN A,Herredouble,Alvin Beckeus,Anton Hofmann,Sturla Hansen,Geir Bjørsvik,"22/24,21/13,21/17",Alvin Beckeus,Anton Hofmann
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN A,Herredouble,Lasse Nyheim,Kent Nyheim,Pankaj Bhart,Rune Enoksen,"21/7,21/6",Lasse Nyheim,Kent Nyheim
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN A,Herredouble,Lasse Nyheim,Kent Nyheim,Alvin Beckeus,Anton Hofmann,"16/21,21/19,21/14",Lasse Nyheim,Kent Nyheim
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN A,Mixeddouble,Åse  Wallin,Alvin Beckeus,Anton Hofmann,Nicole Hofmann,"21/18,21/7",Åse  Wallin,Alvin Beckeus
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN A,Mixeddouble,Mari Hildung,Simen Eggøy Olson,Milla Björnström,Jørgen Wettainen,"21/15,21/16",Mari Hildung,Simen Eggøy Olson
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN A,Mixeddouble,Adrian Olsen-Loe Pedersen,Merete Andreassen,Anton Hofmann,Nicole Hofmann,"21/16,19/21,21/11",Adrian Olsen-Loe Pedersen,Merete Andreassen
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN A,Mixeddouble,Adrian Olsen-Loe Pedersen,Merete Andreassen,Åse  Wallin,Alvin Beckeus,"21/17,17/21,21/19",Adrian Olsen-Loe Pedersen,Merete Andreassen
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN A,Mixeddouble,Adrian Olsen-Loe Pedersen,Merete Andreassen,Milla Björnström,Jørgen Wettainen,"21/16,21/10",Adrian Olsen-Loe Pedersen,Merete Andreassen
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN A,Mixeddouble,Åse  Wallin,Alvin Beckeus,Mari Hildung,Simen Eggøy Olson,"21/8,21/16",Åse  Wallin,Alvin Beckeus
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN A,Mixeddouble,Anton Hofmann,Nicole Hofmann,Milla Björnström,Jørgen Wettainen,"21/14,19/21,21/18",Anton Hofmann,Nicole Hofmann
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN A,Mixeddouble,Mari Hildung,Simen Eggøy Olson,Anton Hofmann,Nicole Hofmann,"21/18,21/14",Mari Hildung,Simen Eggøy Olson
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN A,Mixeddouble,Åse  Wallin,Alvin Beckeus,Milla Björnström,Jørgen Wettainen,"21/9,21/17",Åse  Wallin,Alvin Beckeus
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN A,Mixeddouble,Adrian Olsen-Loe Pedersen,Merete Andreassen,Mari Hildung,Simen Eggøy Olson,"17/21,21/13,21/14",Adrian Olsen-Loe Pedersen,Merete Andreassen
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN B,Herresingle,,Anton Hofmann,,Alvin Beckeus,"21/13,22/20",Anton Hofmann,
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN B,Herresingle,,Jørgen Wettainen,,Åse  Wallin,"21/16,21/14",Jørgen Wettainen,
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN B,Herresingle,,Anton Hofmann,,Åse  Wallin,"21/13,21/16",Anton Hofmann,
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN B,Herresingle,,Anton Hofmann,,Jørgen Wettainen,"21/7,21/15",Anton Hofmann,
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN B,Herresingle,,Alvin Beckeus,,Geir Arne Andersen,"22/20,17/21,21/18",Alvin Beckeus,
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN B,Herresingle,,Viktor Poromaa,,Milla Björnström,"22/20,14/21,23/21",Viktor Poromaa,
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN B,Herresingle,,Alvin Beckeus,,Milla Björnström,"21/6,21/11",Alvin Beckeus,
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN B,Herresingle,,Geir Arne Andersen,,Viktor Poromaa,"21/7,21/16",Geir Arne Andersen,
2023/2024,Harstad Harstad Open 2024,13.04.2024,SEN B,Herresingle,,Geir Arne Andersen,,Milla Björnström,"21/13,24/22",Geir Arne Andersen,
